official_full,first,middle,last,birthday,gender,start,end,state,district,party
Robert B. Aderholt,Robert,B.,Aderholt,1965-07-22,M,2013-01-03,2015-01-03,AL,4,Republican
Rodney Alexander,Rodney,M.,Alexander,1946-12-05,M,2013-01-03,2015-01-03,LA,5,Republican
Justin Amash,Justin,,Amash,1980-04-18,M,2013-01-03,2015-01-03,MI,3,Republican
Robert E. Andrews,Robert,E.,Andrews,1957-08-04,M,2013-01-03,2015-01-03,NJ,1,Democrat
Michele Bachmann,Michele,Marie,Bachmann,1956-04-06,F,2013-01-03,2015-01-03,MN,6,Republican
Spencer Bachus,Spencer,Thomas,Bachus,1947-12-28,M,2013-01-03,2015-01-03,AL,6,Republican
Lou Barletta,Lou,,Barletta,1956-01-28,M,2013-01-03,2015-01-03,PA,11,Republican
John Barrow,John,,Barrow,1955-10-31,M,2013-01-03,2015-01-03,GA,12,Democrat
Joe Barton,Joe,Linus,Barton,1949-09-15,M,2013-01-03,2015-01-03,TX,6,Republican
Karen Bass,Karen,,Bass,1953-10-03,F,2013-01-03,2015-01-03,CA,37,Democrat
Xavier Becerra,Xavier,,Becerra,1958-01-26,M,2013-01-03,2015-01-03,CA,34,Democrat
Dan Benishek,Dan,,Benishek,1952-04-20,M,2013-01-03,2015-01-03,MI,1,Republican
Gus M. Bilirakis,Gus,M.,Bilirakis,1963-02-08,M,2013-01-03,2015-01-03,FL,12,Republican
Rob Bishop,Rob,,Bishop,1951-07-13,M,2013-01-03,2015-01-03,UT,1,Republican
Sanford D. Bishop Jr.,Sanford,D.,Bishop,1947-02-04,M,2013-01-03,2015-01-03,GA,2,Democrat
Timothy H. Bishop,Timothy,H.,Bishop,1950-06-01,M,2013-01-03,2015-01-03,NY,1,Democrat
Diane Black,Diane,,Black,1951-01-16,F,2013-01-03,2015-01-03,TN,6,Republican
Marsha Blackburn,Marsha,W.,Blackburn,1952-06-06,F,2013-01-03,2015-01-03,TN,7,Republican
Earl Blumenauer,Earl,,Blumenauer,1948-08-16,M,2013-01-03,2015-01-03,OR,3,Democrat
John A. Boehner,John,A.,Boehner,1949-11-17,M,2013-01-03,2015-01-03,OH,8,Republican
Madeleine Z. Bordallo,Madeleine,Z.,Bordallo,1933-05-31,F,2013-01-03,2015-01-03,GU,0,Democrat
Charles W. Boustany Jr.,Charles,W.,Boustany,1956-02-21,M,2013-01-03,2015-01-03,LA,3,Republican
Kevin Brady,Kevin,P.,Brady,1955-04-11,M,2013-01-03,2015-01-03,TX,8,Republican
Robert A. Brady,Robert,A.,Brady,1945-04-07,M,2013-01-03,2015-01-03,PA,1,Democrat
Bruce L. Braley,Bruce,L.,Braley,1957-10-30,M,2013-01-03,2015-01-03,IA,1,Democrat
Mo Brooks,Mo,,Brooks,1954-04-29,M,2013-01-03,2015-01-03,AL,5,Republican
Paul C. Broun,Paul,C.,Broun,1946-05-14,M,2013-01-03,2015-01-03,GA,10,Republican
Corrine Brown,Corrine,,Brown,1946-11-11,F,2013-01-03,2015-01-03,FL,5,Democrat
Vern Buchanan,Vern,,Buchanan,1951-05-08,M,2013-01-03,2015-01-03,FL,16,Republican
Larry Bucshon,Larry,,Bucshon,1962-05-31,M,2013-01-03,2015-01-03,IN,8,Republican
Michael C. Burgess,Michael,C.,Burgess,1950-12-23,M,2013-01-03,2015-01-03,TX,26,Republican
G. K. Butterfield,George,Kenneth,Butterfield,1947-04-27,M,2013-01-03,2015-01-03,NC,1,Democrat
